ad_id,title,property_type,listing_type,location,district,detailed_address,price_lkr,price_type,bedrooms,bathrooms,land_size,land_size_unit,property_size_sqft,description,posted_date,posted_by,url,scraped_at
AD100019,Havelock City – 4 Bedroom Apartment in Colombo 11,Apartment,Sale,Colombo 11,Colombo,"Colombo 11, Colombo",152283000,Total Price,4,3,,,2332,Newly built apartment with all modern amenities. Swimming pool and gym. Fully Furnished. Parking available. Amenities: Gym and Pool. Located on floor 16.,2025-09-11,Agent,https://properties.lk/apartment/100019,2026-02-22 21:23:18
AD100020,3 Bedroom Apartment for Rent in Mount Lavinia,Apartment,Rent,Mount Lavinia,Colombo,"Mount Lavinia, Colombo",255000,Per Month,3,3,,,816,Modern apartment with stunning views. Well-maintained and ready to move in. Semi Furnished. Amenities: Gym. Located on floor 36.,2025-12-05,Agent,https://properties.lk/apartment/100020,2026-02-22 21:23:18
AD100021,2 Bedroom Apartment for Sale in Matara City,Apartment,Sale,Matara City,Matara,"Matara City, Matara",18991000,Total Price,2,1,,,1087,Newly built apartment with all modern amenities. Swimming pool and gym. Semi Furnished. Parking available. Amenities: Gym. Located on floor 25.,2025-11-08,Owner,https://properties.lk/apartment/100021,2026-02-22 21:23:18
AD100022,4 Bedroom Apartment for Rent in Colombo 11,Apartment,Rent,Colombo 11,Colombo,"Colombo 11, Colombo",305000,Per Month,4,3,,,1507,Duplex apartment with high ceilings. Premium finishes throughout. Parking available. Amenities: Gym. Located on floor 1.,2025-11-24,Agent,https://properties.lk/apartment/100022,2026-02-22 21:23:18
AD100023,Cinnamon Life – 1 Bedroom Apartment in Kurunegala City,Apartment,Sale,Kurunegala City,Kurunegala,"Kurunegala City, Kurunegala",12978000,Total Price,1,1,,,590,Modern apartment with stunning views. Well-maintained and ready to move in. Amenities: Gym and Pool. Located on floor 31.,2026-01-23,Agent,https://properties.lk/apartment/100023,2026-02-22 21:23:18
AD100024,1 Bedroom Apartment for Sale in Colombo 09,Apartment,Sale,Colombo 09,Colombo,"Colombo 09, Colombo",31454000,Total Price,1,1,,,547,Semi-furnished apartment with balcony. Great for families. Amenities: Gym. Located on floor 6.,2026-02-10,Developer,https://properties.lk/apartment/100024,2026-02-22 21:23:18
AD100025,3 Bedroom Apartment for Sale in Kelaniya,Apartment,Sale,Kelaniya,Gampaha,"Kelaniya, Gampaha",52786000,Total Price,3,3,,,1908,Compact studio apartment. Ideal for young professionals. Amenities: Gym and Pool. Located on floor 6.,2025-11-30,Agent,https://properties.lk/apartment/100025,2026-02-22 21:23:18
AD100026,2 Bedroom Apartment for Sale in Hikkaduwa,Apartment,Sale,Hikkaduwa,Galle,"Hikkaduwa, Galle",26637000,Total Price,2,2,,,1170,Fully furnished apartment with parking. 24/7 security. Fully Furnished. Amenities: Gym and Pool. Located on floor 34.,2025-11-03,Developer,https://properties.lk/apartment/100026,2026-02-22 21:23:18
AD100027,3 Bedroom Apartment for Rent in Katugastota,Apartment,Rent,Katugastota,Kandy,"Katugastota, Kandy",269000,Per Month,3,3,,,1817,Spacious luxury apartment in prime location. Close to schools and shopping. Fully Furnished. Amenities: Gym and Pool. Located on floor 9.,2025-12-23,Developer,https://properties.lk/apartment/100027,2026-02-22 21:23:18
AD100028,1 Bedroom Apartment for Sale in Colombo 07,Apartment,Sale,Colombo 07,Colombo,"Colombo 07, Colombo",21864000,Total Price,1,1,,,400,Duplex apartment with high ceilings. Premium finishes throughout. Semi Furnished. Located on floor 35.,2025-11-11,Owner,https://properties.lk/apartment/100028,2026-02-22 21:23:18
AD100029,Elements – 3 Bedroom Apartment in Colombo 01,Apartment,Sale,Colombo 01,Colombo,"Colombo 01, Colombo",121537000,Total Price,3,3,,,1820,Duplex apartment with high ceilings. Premium finishes throughout. Amenities: Gym and Pool. Located on floor 7.,2025-09-18,Developer,https://properties.lk/apartment/100029,2026-02-22 21:23:18
AD100030,2 Bedroom Apartment for Rent in Matara City,Apartment,Rent,Matara City,Matara,"Matara City, Matara",106000,Per Month,2,1,,,1025,Semi-furnished apartment with balcony. Great for families. Amenities: Gym. Located on floor 16.,2025-11-01,Owner,https://properties.lk/apartment/100030,2026-02-22 21:23:18
AD100031,Luxury Residencies – 3 Bedroom Apartment in Panadura,Apartment,Sale,Panadura,Kalutara,"Panadura, Kalutara",30552000,Total Price,3,3,,,814,Sea-facing apartment with beach access. Restaurant and spa on-site. Amenities: Gym and Pool. Located on floor 3.,2025-10-25,Agent,https://properties.lk/apartment/100031,2026-02-22 21:23:18
AD100032,4 Bedroom Apartment for Rent in Dehiwala,Apartment,Rent,Dehiwala,Colombo,"Dehiwala, Colombo",839000,Per Month,4,3,,,2365,Duplex apartment with high ceilings. Premium finishes throughout. Amenities: Gym. Located on floor 18.,2025-12-27,Agent,https://properties.lk/apartment/100032,2026-02-22 21:23:18
AD100033,3 Bedroom Apartment for Rent in Ja-Ela,Apartment,Rent,Ja-Ela,Gampaha,"Ja-Ela, Gampaha",211000,Per Month,3,2,,,1280,Spacious luxury apartment in prime location. Close to schools and shopping. Fully Furnished. Amenities: Swimming Pool. Located on floor 33.,2025-09-10,Agent,https://properties.lk/apartment/100033,2026-02-22 21:23:18
AD100034,1 Bedroom Apartment for Sale in Mount Lavinia,Apartment,Sale,Mount Lavinia,Colombo,"Mount Lavinia, Colombo",16783000,Total Price,1,1,,,433,Spacious luxury apartment in prime location. Close to schools and shopping. Amenities: Gym and Pool. Located on floor 23.,2025-10-24,Owner,https://properties.lk/apartment/100034,2026-02-22 21:23:18
AD100035,2 Bedroom Apartment for Sale in Panadura,Apartment,Sale,Panadura,Kalutara,"Panadura, Kalutara",24737000,Total Price,2,1,,,1007,Fully furnished apartment with parking. 24/7 security. Fully Furnished. Amenities: Gym. Located on floor 11.,2026-01-20,Agent,https://properties.lk/apartment/100035,2026-02-22 21:23:18
AD100036,3 Bedroom Apartment for Sale in Hikkaduwa,Apartment,Sale,Hikkaduwa,Galle,"Hikkaduwa, Galle",47692000,Total Price,3,2,,,1285,Budget-friendly apartment near public transport. Well-connected area. Semi Furnished. Amenities: Swimming Pool. Located on floor 6.,2026-02-15,Agent,https://properties.lk/apartment/100036,2026-02-22 21:23:18
AD100037,Krrish Square – 5 Bedroom Apartment in Digana,Apartment,Rent,Digana,Kandy,"Digana, Kandy",668000,Per Month,5,5,,,2813,Penthouse apartment with rooftop terrace. Panoramic city views. Fully Furnished. Located on floor 6.,2026-02-04,Developer,https://properties.lk/apartment/100037,2026-02-22 21:23:18
AD100038,3 Bedroom Apartment for Rent in Galle City,Apartment,Rent,Galle City,Galle,"Galle City, Galle",214000,Per Month,3,3,,,1575,Duplex apartment with high ceilings. Premium finishes throughout. Located on floor 32.,2025-11-02,Developer,https://properties.lk/apartment/100038,2026-02-22 21:23:18
AD100039,1 Bedroom Apartment for Sale in Katugastota,Apartment,Sale,Katugastota,Kandy,"Katugastota, Kandy",13945000,Total Price,1,1,,,649,Newly built apartment with all modern amenities. Swimming pool and gym. Fully Furnished. Amenities: Gym and Pool. Located on floor 20.,2025-10-20,Owner,https://properties.lk/apartment/100039,2026-02-22 21:23:18
AD100040,2 Bedroom Apartment for Sale in Colombo 09,Apartment,Sale,Colombo 09,Colombo,"Colombo 09, Colombo",32941000,Total Price,2,1,,,878,Duplex apartment with high ceilings. Premium finishes throughout. Amenities: Gym. Located on floor 14.,2025-09-09,Developer,https://properties.lk/apartment/100040,2026-02-22 21:23:18
AD100041,The Grand – 1 Bedroom Apartment in Battaramulla,Apartment,Sale,Battaramulla,Gampaha,"Battaramulla, Gampaha",16287000,Total Price,1,1,,,506,Semi-furnished apartment with balcony. Great for families. Located on floor 26.,2025-12-05,Agent,https://properties.lk/apartment/100041,2026-02-22 21:23:18
AD100042,Marina Square – 1 Bedroom Apartment in Colombo 07,Apartment,Sale,Colombo 07,Colombo,"Colombo 07, Colombo",25169000,Total Price,1,1,,,400,Semi-furnished apartment with balcony. Great for families. Parking available. Amenities: Gym. Located on floor 32.,2025-12-25,Agent,https://properties.lk/apartment/100042,2026-02-22 21:23:18
AD100043,2 Bedroom Apartment for Sale in Colombo 01,Apartment,Sale,Colombo 01,Colombo,"Colombo 01, Colombo",41332000,Total Price,2,2,,,1165,Duplex apartment with high ceilings. Premium finishes throughout. Fully Furnished. Parking available. Amenities: Gym and Pool. Located on floor 30.,2025-10-22,Agent,https://properties.lk/apartment/100043,2026-02-22 21:23:18
AD100044,Havelock City – 3 Bedroom Apartment in Colombo 02,Apartment,Sale,Colombo 02,Colombo,"Colombo 02, Colombo",132685000,Total Price,3,3,,,1668,Sea-facing apartment with beach access. Restaurant and spa on-site. Fully Furnished. Parking available. Amenities: Swimming Pool. Located on floor 18.,2025-11-07,Developer,https://properties.lk/apartment/100044,2026-02-22 21:23:18
AD100045,Havelock City – 3 Bedroom Apartment in Peradeniya,Apartment,Rent,Peradeniya,Kandy,"Peradeniya, Kandy",390000,Per Month,3,3,,,1892,Newly built apartment with all modern amenities. Swimming pool and gym. Semi Furnished. Amenities: Swimming Pool. Located on floor 12.,2025-12-22,Owner,https://properties.lk/apartment/100045,2026-02-22 21:23:18
AD100046,Krrish Square – 3 Bedroom Apartment in Peradeniya,Apartment,Sale,Peradeniya,Kandy,"Peradeniya, Kandy",36725000,Total Price,3,3,,,1030,Compact studio apartment. Ideal for young professionals. Amenities: Gym. Located on floor 13.,2026-01-23,Developer,https://properties.lk/apartment/100046,2026-02-22 21:23:18
AD100047,2 Bedroom Apartment for Sale in Colombo 05,Apartment,Sale,Colombo 05,Colombo,"Colombo 05, Colombo",44937000,Total Price,2,2,,,782,Semi-furnished apartment with balcony. Great for families. Parking available. Located on floor 17.,2025-08-26,Agent,https://properties.lk/apartment/100047,2026-02-22 21:23:18
AD100048,1 Bedroom Apartment for Rent in Batticaloa City,Apartment,Rent,Batticaloa City,Batticaloa,"Batticaloa City, Batticaloa",28000,Per Month,1,1,,,601,Budget-friendly apartment near public transport. Well-connected area. Fully Furnished. Amenities: Gym and Pool. Located on floor 13.,2026-02-11,Owner,https://properties.lk/apartment/100048,2026-02-22 21:23:18
AD100049,2 Bedroom Apartment for Rent in Peliyagoda,Apartment,Rent,Peliyagoda,Gampaha,"Peliyagoda, Gampaha",164000,Per Month,2,2,,,1453,Newly built apartment with all modern amenities. Swimming pool and gym. Amenities: Swimming Pool. Located on floor 25.,2025-11-29,Agent,https://properties.lk/apartment/100049,2026-02-22 21:23:18
AD100050,Capitol TwinPeaks – 3 Bedroom Apartment in Unawatuna,Apartment,Rent,Unawatuna,Galle,"Unawatuna, Galle",238000,Per Month,3,3,,,1007,Compact studio apartment. Ideal for young professionals. Fully Furnished. Located on floor 31.,2026-02-08,Owner,https://properties.lk/apartment/100050,2026-02-22 21:23:18
AD100051,4 Bedroom Apartment for Rent in Kelaniya,Apartment,Rent,Kelaniya,Gampaha,"Kelaniya, Gampaha",256000,Per Month,4,4,,,1489,Budget-friendly apartment near public transport. Well-connected area. Parking available. Amenities: Swimming Pool. Located on floor 27.,2025-12-22,Developer,https://properties.lk/apartment/100051,2026-02-22 21:23:18
AD100052,3 Bedroom Apartment for Sale in Havelock Town,Apartment,Sale,Havelock Town,Colombo,"Havelock Town, Colombo",38434000,Total Price,3,3,,,1011,Sea-facing apartment with beach access. Restaurant and spa on-site. Amenities: Gym and Pool. Located on floor 8.,2025-12-14,Agent,https://properties.lk/apartment/100052,2026-02-22 21:23:18
AD100053,3 Bedroom Apartment for Sale in Kurunegala City,Apartment,Sale,Kurunegala City,Kurunegala,"Kurunegala City, Kurunegala",22799000,Total Price,3,2,,,1333,Penthouse apartment with rooftop terrace. Panoramic city views. Fully Furnished. Located on floor 7.,2025-10-15,Agent,https://properties.lk/apartment/100053,2026-02-22 21:23:18
AD100054,4 Bedroom Apartment for Sale in Kurunegala City,Apartment,Sale,Kurunegala City,Kurunegala,"Kurunegala City, Kurunegala",25575000,Total Price,4,3,,,1561,Fully furnished apartment with parking. 24/7 security. Amenities: Gym and Pool. Located on floor 34.,2025-08-27,Owner,https://properties.lk/apartment/100054,2026-02-22 21:23:18
AD100055,1 Bedroom Apartment for Rent in Peradeniya,Apartment,Rent,Peradeniya,Kandy,"Peradeniya, Kandy",74000,Per Month,1,1,,,640,Sea-facing apartment with beach access. Restaurant and spa on-site. Parking available. Amenities: Gym. Located on floor 8.,2025-09-23,Agent,https://properties.lk/apartment/100055,2026-02-22 21:23:18
AD100056,3 Bedroom Apartment for Sale in Matara City,Apartment,Sale,Matara City,Matara,"Matara City, Matara",28308000,Total Price,3,3,,,1188,Budget-friendly apartment near public transport. Well-connected area. Amenities: Gym and Pool. Located on floor 3.,2025-08-28,Agent,https://properties.lk/apartment/100056,2026-02-22 21:23:18
AD100057,3 Bedroom Apartment for Rent in Unawatuna,Apartment,Rent,Unawatuna,Galle,"Unawatuna, Galle",165000,Per Month,3,2,,,1417,Compact studio apartment. Ideal for young professionals. Semi Furnished. Amenities: Swimming Pool. Located on floor 17.,2026-01-27,Developer,https://properties.lk/apartment/100057,2026-02-22 21:23:18
AD100058,Havelock City – 2 Bedroom Apartment in Panadura,Apartment,Rent,Panadura,Kalutara,"Panadura, Kalutara",48000,Per Month,2,1,,,400,Budget-friendly apartment near public transport. Well-connected area. Semi Furnished. Located on floor 8.,2025-08-31,Owner,https://properties.lk/apartment/100058,2026-02-22 21:23:18
AD100059,Skyline Towers – 4 Bedroom Apartment in Colombo 03,Apartment,Rent,Colombo 03,Colombo,"Colombo 03, Colombo",1018000,Per Month,4,3,,,2413,Spacious luxury apartment in prime location. Close to schools and shopping. Amenities: Gym.,2025-10-31,Agent,https://properties.lk/apartment/100059,2026-02-22 21:23:18
AD100060,5 Bedroom Apartment for Rent in Nallur,Apartment,Rent,Nallur,Jaffna,"Nallur, Jaffna",244000,Per Month,5,5,,,2023,Budget-friendly apartment near public transport. Well-connected area. Semi Furnished. Amenities: Gym and Pool. Located on floor 5.,2025-12-08,Developer,https://properties.lk/apartment/100060,2026-02-22 21:23:18
AD100061,1 Bedroom Apartment for Sale in Nugegoda,Apartment,Sale,Nugegoda,Colombo,"Nugegoda, Colombo",47868000,Total Price,1,1,,,868,Budget-friendly apartment near public transport. Well-connected area. Parking available. Amenities: Gym. Located on floor 13.,2025-12-19,Developer,https://properties.lk/apartment/100061,2026-02-22 21:23:18
AD100062,The Grand – 4 Bedroom Apartment in Negombo City,Apartment,Sale,Negombo City,Negombo,"Negombo City, Negombo",54652000,Total Price,4,3,,,1883,Newly built apartment with all modern amenities. Swimming pool and gym. Located on floor 17.,2026-01-01,Owner,https://properties.lk/apartment/100062,2026-02-22 21:23:18
AD100063,2 Bedroom Apartment for Sale in Kochchikade,Apartment,Sale,Kochchikade,Negombo,"Kochchikade, Negombo",19488000,Total Price,2,2,,,948,Sea-facing apartment with beach access. Restaurant and spa on-site. Semi Furnished. Parking available. Located on floor 3.,2025-11-20,Owner,https://properties.lk/apartment/100063,2026-02-22 21:23:18
AD100064,3 Bedroom Apartment for Sale in Negombo City,Apartment,Sale,Negombo City,Negombo,"Negombo City, Negombo",38081000,Total Price,3,3,,,1382,Duplex apartment with high ceilings. Premium finishes throughout. Fully Furnished. Amenities: Gym. Located on floor 22.,2026-02-15,Developer,https://properties.lk/apartment/100064,2026-02-22 21:23:18
AD100065,Havelock City – 4 Bedroom Apartment in Matara City,Apartment,Sale,Matara City,Matara,"Matara City, Matara",54941000,Total Price,4,4,,,1834,Sea-facing apartment with beach access. Restaurant and spa on-site. Fully Furnished. Parking available. Amenities: Gym. Located on floor 30.,2026-01-18,Agent,https://properties.lk/apartment/100065,2026-02-22 21:23:18
AD100066,4 Bedroom Apartment for Rent in Peliyagoda,Apartment,Rent,Peliyagoda,Gampaha,"Peliyagoda, Gampaha",252000,Per Month,4,3,,,1749,Fully furnished apartment with parking. 24/7 security. Fully Furnished. Amenities: Gym and Pool. Located on floor 16.,2025-10-31,Agent,https://properties.lk/apartment/100066,2026-02-22 21:23:18
AD100067,On320 – 4 Bedroom Apartment in Nallur,Apartment,Sale,Nallur,Jaffna,"Nallur, Jaffna",44662000,Total Price,4,4,,,2487,Budget-friendly apartment near public transport. Well-connected area. Fully Furnished. Amenities: Gym. Located on floor 28.,2026-02-16,Owner,https://properties.lk/apartment/100067,2026-02-22 21:23:18
AD100068,4 Bedroom Apartment for Sale in Negombo City,Apartment,Sale,Negombo City,Negombo,"Negombo City, Negombo",63128000,Total Price,4,4,,,2144,Semi-furnished apartment with balcony. Great for families. Parking available. Amenities: Swimming Pool. Located on floor 13.,2026-01-15,Owner,https://properties.lk/apartment/100068,2026-02-22 21:23:18
AD100069,1 Bedroom Apartment for Sale in Battaramulla,Apartment,Sale,Battaramulla,Gampaha,"Battaramulla, Gampaha",10135000,Total Price,1,1,,,400,Semi-furnished apartment with balcony. Great for families. Parking available. Amenities: Gym. Located on floor 36.,2026-02-08,Owner,https://properties.lk/apartment/100069,2026-02-22 21:23:18
AD100070,5 Bedroom Apartment for Sale in Kalutara City,Apartment,Sale,Kalutara City,Kalutara,"Kalutara City, Kalutara",44446000,Total Price,5,5,,,2565,Sea-facing apartment with beach access. Restaurant and spa on-site. Semi Furnished. Amenities: Swimming Pool. Located on floor 31.,2025-12-06,Agent,https://properties.lk/apartment/100070,2026-02-22 21:23:18
AD100071,3 Bedroom Apartment for Sale in Galle City,Apartment,Sale,Galle City,Galle,"Galle City, Galle",33204000,Total Price,3,3,,,1217,Spacious luxury apartment in prime location. Close to schools and shopping. Amenities: Gym. Located on floor 4.,2026-01-20,Agent,https://properties.lk/apartment/100071,2026-02-22 21:23:18
AD100072,4 Bedroom Apartment for Rent in Katugastota,Apartment,Rent,Katugastota,Kandy,"Katugastota, Kandy",200000,Per Month,4,3,,,2245,Fully furnished apartment with parking. 24/7 security. Semi Furnished. Located on floor 6.,2025-11-08,Agent,https://properties.lk/apartment/100072,2026-02-22 21:23:18
AD100073,5 Bedroom Apartment for Rent in Kurunegala City,Apartment,Rent,Kurunegala City,Kurunegala,"Kurunegala City, Kurunegala",220000,Per Month,5,5,,,2460,Spacious luxury apartment in prime location. Close to schools and shopping. Parking available. Amenities: Swimming Pool. Located on floor 8.,2026-01-29,Agent,https://properties.lk/apartment/100073,2026-02-22 21:23:18
AD100074,3 Bedroom Apartment for Sale in Rajagiriya,Apartment,Sale,Rajagiriya,Colombo,"Rajagiriya, Colombo",83897000,Total Price,3,3,,,1748,Penthouse apartment with rooftop terrace. Panoramic city views. Fully Furnished. Amenities: Gym and Pool. Located on floor 26.,2026-01-26,Developer,https://properties.lk/apartment/100074,2026-02-22 21:23:18
AD100075,On320 – 2 Bedroom Apartment in Kaduwela,Apartment,Rent,Kaduwela,Gampaha,"Kaduwela, Gampaha",267000,Per Month,2,2,,,1244,Modern apartment with stunning views. Well-maintained and ready to move in. Fully Furnished. Amenities: Gym and Pool. Located on floor 34.,2026-01-06,Agent,https://properties.lk/apartment/100075,2026-02-22 21:23:18
AD100076,3 Bedroom Apartment for Sale in Wadduwa,Apartment,Sale,Wadduwa,Kalutara,"Wadduwa, Kalutara",19620000,Total Price,3,3,,,1348,Compact studio apartment. Ideal for young professionals. Fully Furnished. Parking available. Amenities: Gym. Located on floor 39.,2025-11-06,Agent,https://properties.lk/apartment/100076,2026-02-22 21:23:18
AD100077,Havelock City – 5 Bedroom Apartment in Rajagiriya,Apartment,Sale,Rajagiriya,Colombo,"Rajagiriya, Colombo",106744000,Total Price,5,5,,,1339,Compact studio apartment. Ideal for young professionals. Located on floor 26.,2025-12-14,Owner,https://properties.lk/apartment/100077,2026-02-22 21:23:18
AD100078,3 Bedroom Apartment for Sale in Negombo City,Apartment,Sale,Negombo City,Negombo,"Negombo City, Negombo",41327000,Total Price,3,3,,,2089,Modern apartment with stunning views. Well-maintained and ready to move in. Amenities: Swimming Pool. Located on floor 13.,2025-12-31,Agent,https://properties.lk/apartment/100078,2026-02-22 21:23:18
AD100079,2 Bedroom Apartment for Sale in Batticaloa City,Apartment,Sale,Batticaloa City,Batticaloa,"Batticaloa City, Batticaloa",9390000,Total Price,2,2,,,815,Spacious luxury apartment in prime location. Close to schools and shopping. Semi Furnished. Amenities: Gym and Pool. Located on floor 23.,2025-11-12,Developer,https://properties.lk/apartment/100079,2026-02-22 21:23:18
AD100080,1 Bedroom Apartment for Rent in Colombo 01,Apartment,Rent,Colombo 01,Colombo,"Colombo 01, Colombo",156000,Per Month,1,1,,,757,Newly built apartment with all modern amenities. Swimming pool and gym. Parking available. Amenities: Gym and Pool. Located on floor 6.,2025-09-16,Agent,https://properties.lk/apartment/100080,2026-02-22 21:23:18
AD100081,3 Bedroom Apartment for Sale in Kurunegala City,Apartment,Sale,Kurunegala City,Kurunegala,"Kurunegala City, Kurunegala",25784000,Total Price,3,3,,,1629,Newly built apartment with all modern amenities. Swimming pool and gym. Parking available. Amenities: Gym and Pool. Located on floor 18.,2026-02-02,Developer,https://properties.lk/apartment/100081,2026-02-22 21:23:18
AD100082,Platinum One Suites – 3 Bedroom Apartment in Hikkaduwa,Apartment,Sale,Hikkaduwa,Galle,"Hikkaduwa, Galle",28842000,Total Price,3,3,,,1015,Duplex apartment with high ceilings. Premium finishes throughout. Semi Furnished. Located on floor 3.,2025-09-30,Developer,https://properties.lk/apartment/100082,2026-02-22 21:23:18
